document	sentences	fast	slow	slow1	slow2	hwc	exclude_conflict	hwc1	compete2	resource1	competition2	ipcc	co_slow	co_hwc	co_resourcecompetition	doc_ipcc	1.1. fast climate onset	1.2. slow climate onset	2.1. human-wildlife conflict and fast climate onset	2.2. human-wildlife conflict and slow climate onset	3.1. human-wildlife conflict and natural resource competition	4.1. wild life conflict in articles that mention ipcc	1. climate change	2. climate change and human wild life conflict	3. resource competition and human-wild life conflict	4. wild life conflict in articles that mention ipcc
examplefile	this file is used for debugging purposes.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
examplefile	there is going to be an increase in temperature.	False	False	True	True	False	False	False	False	False	False	False	True	False	False	True	False	True	False	False	False	False	True	False	False	False
examplefile	rainfall is expected to rapidly intensify.	True	False	True	True	False	False	False	False	False	False	False	True	False	False	True	False	True	False	False	False	False	True	False	False	False
examplefile	rainfall, which is expected to rapidly intensify.	True	False	True	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	False
examplefile	humanâwildlife conflict is expected to intensify with climate change.	False	True	True	True	False	False	True	True	False	True	False	True	True	False	True	False	True	False	True	False	True	True	False	False	True
examplefile	humanâwildlife, conflict of interest.	False	False	False	False	False	True	True	True	False	True	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False
examplefile	the latest ipcc study finds that resource competition is escalating conflicts between animals and humans.	False	False	False	False	False	False	True	True	True	True	True	False	True	True	True	False	False	False	False	True	True	False	False	True	True
examplefile	co	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"2023 united nations climate change conference
    article
    talk
    read
    edit
    view history
tools
from wikipedia, the free encyclopedia
2023 united nations climate change conference
logo
a group photo of national leaders and other dignitaries at the 2023 united nations climate change conference
native name	ùø¤øªùø± ø§ùø£ùù ø§ùùøªø­ø¯ø© ùùøªøºùø± ø§ùùùø§ø®ù 2023."	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"date	30 november â 13 december 2023."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"location	expo city, dubai, united arab emirates
organised by	united arab emirates
participants	unfccc member countries
president	sultan al jaber
previous event	â sharm el sheikh 2022."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"next event	â baku 2024."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"website	cop28.com
al wasl plaza, expo city, dubai
the 2023 united nations climate change conference or conference of the parties of the unfccc, more commonly known as cop28, was the 28th united nations climate change conference, held from 30 november to 13 december at expo city, dubai, united arab emirates."	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	the cop conference has been held annually (except 2020 due to the covid-19 pandemic)[1] since the first un climate agreement in 1992.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	the event is intended for governments to agree on policies to limit global temperature rises and adapt to impacts associated with climate change.	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[2]
the conference was originally scheduled to end on 12 december, but had to be extended following saudi objections on the final agreement."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
