document	sentences	lista	listb	listc	listd	liste	listf	listg	co_occurrencea	co_occurrenceb	conditional_a	conditional_b	vadar_compound	1.1	1	2.1	2	3.1	3	4.1	4	5.1	5	6.1	6	7.1	7.2	7.3	7.4	7	8.1	8.2	8
doc1	"united nations convention on the law of the sea (unclos) [*]
done at: montego bay
date enacted: 1982-12-10."	True	False	False	False	False	False	True	False	False	True	True	0.4215	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True
doc1	in force: 1994-11-16.	False	False	False	False	False	False	False	False	False	True	True	0.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
doc1	"the states parties to this convention,
prompted by the desire to settle, in a spirit of mutual understanding and cooperation, all issues relating to the law of the sea and aware of the historic significance of this convention as an important contribution to the maintenance of peace, justice and progress for all peoples of the world,
noting that developments since the united nations conferences on the law of the sea held at geneva in 1958 and 1960 have accentuated the need for a new and generally acceptable convention on the law of the sea,
conscious that the problems of ocean space are closely interrelated and need to be considered as a whole,
recognizing the desirability of establishing through this convention, with due regard for the sovereignty of all states, a legal order for the seas and oceans which will facilitate international communication, and will promote the peaceful uses of the seas and oceans, the equitable and efficient utilization of their resources, the conservation of their living resources, and the study, protection and preservation of the marine environment,
bearing in mind that the achievement of these goals will contribute to the realization of a just and equitable international economic order which takes into account the interests and needs of mankind as a whole and, in particular, the special interests and needs of developing countries, whether coastal or land-locked,
desiring by this convention to develop the principles embodied in resolution 2749 (xxv) of 17 december 1970 in which the general assembly of the united nations solemnly declared inter alia that the area of the seabed and ocean floor and the subsoil thereof, beyond the limits of national jurisdiction, as well as its resources, are the common heritage of mankind, the exploration and exploitation of which shall be carried out for the benefit of mankind as a whole, irrespective of the geographical location of states,
believing that the codification and progressive development of the law of the sea achieved in this convention will contribute to the strengthening of peace, security, cooperation and friendly relations among all nations in conformity with the principles of justice and equal rights and will promote the economic and social advancement of all peoples of the world, in accordance with the purposes and principles of the united nations as set forth in the charter,
affirming that matters not regulated by this convention continue to be governed by the rules and principles of general international law,
have agreed as follows:
part i - introduction
article 1."	True	True	False	True	True	False	True	False	True	True	True	0.9964	True	True	True	True	True	True	True	True	False	False	True	True	True	True	False	True	True	True	True	True
doc1	"use of terms and scope
1."	False	False	False	False	False	False	False	False	False	True	True	0.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
doc1	"for the purposes of this convention:
(1)	
""area"" means the seabed and ocean floor and subsoil thereof, beyond the limits of national jurisdiction;
(2)	
""authority"" means the international seabed authority;
(3)	
""activities in the area"" means all activities of exploration for, and exploitation of, the resources of the area;
(4)	
""pollution of the marine environment"" means the introduction by man, directly or indirectly, of substances or energy into the marine environment, including estuaries, which results or is likely to result in such deleterious effects as harm to living resources and marine life, hazards to human health, hindrance to marine activities, including fishing and other legitimate uses of the sea, impairment of quality for use of sea water and reduction of amenities;
(5)	
(a)	
""dumping"" means:
(i)	 any deliberate disposal of wastes or other matter from vessels, aircraft, platforms or other man-made structures at sea;
(ii)	 any deliberate disposal of vessels, aircraft, platforms or other man-made structures at sea;
(b)	
""dumping"" does not include:
(i)	 the disposal of wastes or other matter incidental to, or derived from the normal operations of vessels, aircraft, platforms or other man-made structures at sea and their equipment, other than wastes or other matter transported by or to vessels, aircraft, platforms or other man-made structures at sea, operating for the purpose of disposal of such matter or derived from the treatment of such wastes or other matter on such vessels, aircraft, platforms or structures;
(ii)	 placement of matter for a purpose other than the mere disposal thereof, provided that such placement is not contrary to the aims of this convention."	False	False	False	False	True	False	False	False	False	True	True	-0.3182	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
doc1	2.	False	False	False	False	False	False	False	False	False	True	True	0.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
doc1	"(1)	
""states parties"" means states which have consented to be bound by this convention and for which this convention is in force."	False	False	False	False	False	False	False	False	False	True	True	0.4019	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
doc1	"(2)	
this convention applies mutatis mutandis to the entities referred to in article 305, paragraph l(b), (c), (d), (e) and (f), which become parties to this convention in accordance with the conditions relevant to each, and to that extent ""states parties"" refers to those entities."	False	False	False	False	False	False	False	False	False	True	True	0.6597	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
doc1	"part ii - territorial sea and contiguous zone
section 1 - general provisions
article 2."	False	False	False	False	False	False	False	False	False	True	True	0.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
doc1	"legal status of the territorial sea, of the air space over the territorial sea and of its bed and subsoil
1."	False	False	False	False	False	False	False	False	False	True	True	0.128	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
